bin_start,bin_break,bin_index,frequency,site,year
28.5,30,20,NA,SP15,2015
0,1.5,1,0.2746767985063777,HR 1,2018
1.5,3,2,0.6048087456560481,HR 1,2018
3,4.5,3,0.04920576193251773,HR 1,2018
4.5,6,4,0.018116155182870575,HR 1,2018
6,7.5,5,0.011869061944972116,HR 1,2018
7.5,9,6,0.00761200647343657,HR 1,2018
9,10.5,7,0.008814215881041728,HR 1,2018
10.5,12,8,0.012671411958397834,HR 1,2018
12,13.5,9,0.009679554219056672,HR 1,2018
13.5,15,10,0.0024141180144372663,HR 1,2018
15,16.5,11,1.3217023084369947e-4,HR 1,2018
16.5,18,12,NA,HR 1,2018
18,19.5,13,NA,HR 1,2018
19.5,21,14,NA,HR 1,2018
21,22.5,15,NA,HR 1,2018
22.5,24,16,NA,HR 1,2018
24,25.5,17,NA,HR 1,2018
25.5,27,18,NA,HR 1,2018
27,28.5,19,NA,HR 1,2018
28.5,30,20,NA,HR 1,2018
0,1.5,1,0.3143449576933506,HR 2,2018
1.5,3,2,0.5059584607565204,HR 2,2018
3,4.5,3,0.11894859445471742,HR 2,2018
4.5,6,4,0.044694989619995316,HR 2,2018
6,7.5,5,0.013105713787091525,HR 2,2018
7.5,9,6,0.002947283688324718,HR 2,2018
9,10.5,7,NA,HR 2,2018
10.5,12,8,NA,HR 2,2018
12,13.5,9,NA,HR 2,2018
13.5,15,10,NA,HR 2,2018
15,16.5,11,NA,HR 2,2018
16.5,18,12,NA,HR 2,2018
18,19.5,13,NA,HR 2,2018
19.5,21,14,NA,HR 2,2018
21,22.5,15,NA,HR 2,2018
22.5,24,16,NA,HR 2,2018
24,25.5,17,NA,HR 2,2018
25.5,27,18,NA,HR 2,2018
27,28.5,19,NA,HR 2,2018
